classification,gyroscope_z_avg,accelerometer_y_avg,accelerometer_x_avg,magnetic_field_z_avg,magnetic_field_y_avg,accelerometer_z_avg,magnetic_field_x_avg,audio_avg,gyroscope_y_avg,gyroscope_x_avg,gyroscope_z_rms,accelerometer_y_rms,accelerometer_x_rms,magnetic_field_z_rms,magnetic_field_y_rms,accelerometer_z_rms,magnetic_field_x_rms,audio_rms,gyroscope_y_rms,gyroscope_x_rms,gyroscope_z_sdv,accelerometer_y_sdv,accelerometer_x_sdv,magnetic_field_z_sdv,magnetic_field_y_sdv,accelerometer_z_sdv,magnetic_field_x_sdv,audio_sdv,gyroscope_y_sdv,gyroscope_x_sdv
quiet,0.4703458608880763,0.4877200695189081,0.6170104398087284,0.3066899783050032,0.6257144885391793,0.5796345998796758,0.2655724952635358,0.4644306154553134,0.4500081123239525,0.6641408989170481,0.4998754769859756,0.5064239606252804,0.6297281162201336,0.3417483214863724,0.6755854252788103,0.5857041587618261,0.3035040547827088,0.46593984136280814,0.4648700927043067,0.6743970875855841,0.1695453405987865,0.13842796994458118,0.12625127481930912,0.15621987959399208,0.25337762961478144,0.08350573165803082,0.1470382184972977,0.03747310885373688,0.11927152294315427,0.11593877661234259
quiet,0.40092359964371255,0.15533572721312527,0.6502894963368906,0.8134992401364771,0.778477610636843,0.5225353495834388,0.1412934769763221,0.46433387832296885,0.4691082909767664,0.4732737381946081,0.4121044696923189,0.15993790135583164,0.6539944522816379,0.8192702965343504,0.7837900578798469,0.5250757785449918,0.15214557457274314,0.46551862304372377,0.47733177188260295,0.47683450305122416,0.09534338566002586,0.03809126069425048,0.06951485142812308,0.09707113412778941,0.091101397181636,0.05158858061957108,0.056430747168644955,0.03319093011720895,0.08822149276362852,0.05816452557540878
quiet,0.3637915768638283,0.5602226908118789,0.5965485807813833,0.19531476905900616,0.6112404112505464,0.6003582289798367,0.5489919647915534,0.46437101333960223,0.6706846478847144,0.4952428918554788,0.3712406677851721,0.5610891823197476,0.5986640577318122,0.22434197168430473,0.6123090828017612,0.6015846324025459,0.5496630269053258,0.4654590707423816,0.6779510811357602,0.4975583988263849,0.07399541891571852,0.03117061461913113,0.05028364334092271,0.11036965727331291,0.03616037245096577,0.03839357809711405,0.02715263782827036,0.03180736559672183,0.09899379528486456,0.047946202240608304
quiet,0.36569184296801605,0.1102361992112341,0.7294082333763238,0.18260925369685757,0.8709144010069757,0.6763326878725658,0.08302091287109659,0.4644336969001013,0.6672736270158673,0.49384193481565936,0.36943039665614524,0.11368371421537067,0.7302037168061429,0.21486592471554594,0.8797883511100384,0.6766422117409006,0.11072827038753207,0.46549412835149084,0.6691913035628259,0.49535228348058225,0.05242417343340783,0.027784298826192315,0.034074875206450944,0.11323085298691023,0.12464208305211866,0.020464066670292633,0.07326853273448387,0.031402622714421964,0.050625166204220466,0.038652660541680615
quiet,0.37756583564754687,0.5009380950849919,0.6398574970109377,0.0955610189940778,0.7628459960431511,0.6241218867321587,0.47170433224695846,0.46444365101803314,0.6728308186117892,0.4890112526601131,0.38425752865627455,0.5023997016741178,0.641817138182693,0.1208739375722823,0.7676006312683646,0.6246878131047133,0.4736015199558041,0.465543499767166,0.6753896074310715,0.4905060725564935,0.07139949636236943,0.03829471418958907,0.05011608907245942,0.07401756840805872,0.08530366606732355,0.026584475609618546,0.04234882104496506,0.031981951228337406,0.05873509472272105,0.0382648923503297
sample,0.49449167159734053,0.5934974583741782,0.5477085420006902,0.7344275238006346,0.5074330410732134,0.5530700608305675,0.2906585223367697,0.4449922377421646,0.4910940757045879,0.5149239916410606,0.5164831137022866,0.6176878284347033,0.5685073900650293,0.740533870664315,0.549209297310818,0.6124548754847707,0.3168800614428796,0.4541636879132425,0.5337712488514689,0.5808238646285062,0.14910665129522646,0.1711695659273865,0.15236799394239683,0.09490324486097175,0.21010131146624006,0.2630864540753431,0.12621646775698006,0.0908105928191987,0.2091371676874128,0.2687185229090652
sample,0.5025884623066871,0.6667538393826619,0.5583144627537252,0.4752380175832073,0.5192726228051878,0.5653906010222138,0.34320592821476664,0.44499832058530553,0.4865335153062818,0.5154595187793963,0.5061947677088606,0.6699368879373466,0.5592904977803014,0.4825773643685563,0.5536999078646117,0.5702429473227653,0.3539524786746097,0.4492934484702807,0.489743819911531,0.5264888080223257,0.06031567302142082,0.06522845611889938,0.033027588276415706,0.08384354026689195,0.19219659511630496,0.07423265620394692,0.08655661729839188,0.06197658843938749,0.05598345849668579,0.10720051059804897
sample,0.5157718197616356,0.6226474636436795,0.493433990818649,0.6352074297147694,0.4475594951391697,0.5708180159952991,0.43262397979067946,0.4441112412834616,0.5276334643707487,0.4917024090034321,0.5349210050185118,0.6474157246779588,0.5197244984773489,0.6431076851420426,0.48373763447622564,0.6253146182690997,0.45002244695043264,0.4526402576771516,0.5611327603511529,0.5363530127351112,0.1418446740268532,0.17736193666730893,0.1632067738248485,0.10049386013041063,0.1835554339141904,0.2553138547674639,0.1239221322820437,0.08745517843840293,0.1909787999109501,0.21425054317376252
sample,0.5111432344028438,0.726113274365919,0.506270807253486,0.4914593782421859,0.24482357347843445,0.5664371773772076,0.4774583228542833,0.5144941357049292,0.5247282918763289,0.4901705165148645,0.5124004725884285,0.729801166214785,0.5072545358821365,0.4983140441386446,0.27913677990495517,0.614157407625691,0.48193448673894207,0.5208302367422983,0.5289823089391171,0.5281160436574865,0.035872527553023434,0.07327520043004593,0.031575843550183676,0.082368477730328,0.13408489760206763,0.2373567892992558,0.06553166750131756,0.08099333201122379,0.06695149643667217,0.19656912348582964
sample,0.5161084430791245,0.640853188868487,0.4351950292472299,0.5731362408132868,0.45858079263027446,0.5731880776561201,0.47292475758927077,0.50951042531007,0.5274507449407926,0.5608550242581518,0.5337458717649364,0.6617060047715092,0.4546760186314879,0.5808615272612291,0.48412433068781663,0.6213401422016154,0.4835869831318194,0.5153582240474898,0.5492640211664028,0.5849901927851743,0.13607619412870967,0.16480906245641974,0.1316646058630944,0.09441908344535264,0.15517739588778925,0.23983119051533752,0.10098784042480179,0.0774159259696805,0.15325363489747754,0.16629842879361229
test,0.5168827656559073,0.6984026372170591,0.46507323627391384,0.6526409873336391,0.6400453855895959,0.5791620866182071,0.45589472682456184,0.5095147060539089,0.48221015025356007,0.5599020964403284,0.5226646849427321,0.699565117359297,0.4672731831236211,0.654272625222117,0.6436600323860745,0.5803134795916509,0.4737752350544266,0.510246519859726,0.5096624567940599,0.5624607985979718,0.07752792693078679,0.04031265005161203,0.045289210284461104,0.04617802255631513,0.0681185853986159,0.036537816297845485,0.12893010278610748,0.027318040628605902,0.1650126990803885,0.05358910674000728
test,0.5111536907922082,0.5937265922999115,0.44452952899000975,0.29603157937179936,0.6642140153041811,0.5929155135811499,0.3778947262631574,0.5095103604086952,0.48458029122430735,0.6469296601088383,0.5122622508754548,0.5972694465763516,0.4453866901139254,0.32750349373914706,0.6929414482523705,0.6011798807812134,0.3909348786405733,0.5116587803575214,0.4899655608880435,0.6543387313003555,0.03368260770028424,0.06495787411512305,0.02761886287591235,0.1400851256414694,0.19745276037470333,0.0993400362941143,0.10012819383277015,0.04683908787680295,0.07244440774345749,0.09818956233338598
test,0.5200390522608532,0.6507289712194397,0.45996798502320746,0.6706289736598867,0.7755490940466229,0.5857970210719975,0.4646198018739243,0.509500709791054,0.44949498618549655,0.6499141022192294,0.5240831897395964,0.6524031949160995,0.46267698651876726,0.677263233195601,0.7851909773565154,0.5905003802212071,0.507269886233894,0.5116031321061487,0.4850437198088186,0.6531335037654746,0.06498133494523185,0.04670904358284757,0.04999446577149388,0.09456355918876064,0.12267222034977968,0.07438110744378626,0.20359562172695087,0.04633348144957333,0.18226811986761896,0.06476907809701928
test,0.5150977293999189,0.657735796210196,0.46277522300849966,0.5157718790461138,0.6736041013906924,0.585575986271565,0.49480963312980597,0.5095032185581193,0.46386609162238124,0.6505654016406356,0.518301425040352,0.6592116627139806,0.46506706687629534,0.5280420115157016,0.6861894507036631,0.5876801572398983,0.5416106657736304,0.5116546443797964,0.4992396916107868,0.6519729539785422,0.05753865106089251,0.04408671729521679,0.046113660257600546,0.11317126274275975,0.1308184881682779,0.04968633127527841,0.22023973356708657,0.04687158408179842,0.1845765931059749,0.04281811424696681
test,0.5188498155617001,0.6201942413058344,0.46750106794040974,0.6272810541830214,0.6971650675119209,0.5910760414651139,0.5048964044702473,0.5095025688270325,0.4653475860996834,0.6494482135863242,0.5212313539827413,0.621357359320503,0.46879459296080944,0.6308188816935991,0.7049534762772531,0.595666867076738,0.531749666260129,0.5107971388121553,0.47472856023555005,0.6538962121163868,0.04976940090327799,0.03800093463098855,0.034801176185116106,0.06671536977488587,0.10450010696876164,0.07381144720805836,0.1668452226489406,0.03634349154011262,0.09390862587918028,0.07613983247742195
